Date,Gold,Silver,Oil
2004-05-07,469.65,6.27,40.37
2004-05-10,464.97,6.28,40.50
2004-05-11,467.35,6.32,40.44
2004-05-12,470.57,6.31,40.23
2004-05-13,469.42,6.29,39.54
2004-05-14,469.86,6.30,39.43
2004-05-17,468.25,6.32,39.97
2004-05-18,468.41,6.30,39.79
2004-05-19,468.32,6.24,39.75
2004-05-20,468.53,6.32,40.06
2004-05-21,471.02,6.29,40.27
2004-05-24,468.41,6.31,40.41
2004-05-25,466.68,6.40,40.60
2004-05-26,462.31,6.42,40.47
2004-05-27,462.39,6.45,40.60
2004-05-28,457.74,6.40,40.86
2004-05-31,460.79,6.48,41.45
2004-06-01,456.12,6.52,40.82
2004-06-02,459.87,6.53,40.45
2004-06-03,464.56,6.56,39.84
2004-06-04,465.31,6.53,39.88
2004-06-07,464.30,6.59,39.43
2004-06-08,465.11,6.68,39.18
2004-06-09,465.67,6.69,38.96
2004-06-10,467.24,6.70,38.67
2004-06-11,471.43,6.73,38.63
2004-06-14,470.00,6.70,39.01
2004-06-15,469.73,6.72,38.96
2004-06-16,471.25,6.72,39.20
2004-06-17,470.88,6.76,39.41
2004-06-18,470.68,6.72,39.12
2004-06-21,469.01,6.67,39.39
2004-06-22,468.97,6.75,40.12
2004-06-23,469.10,6.68,40.00
2004-06-24,468.99,6.61,39.92
2004-06-25,469.73,6.59,39.68
2004-06-28,468.02,6.67,39.63
2004-06-29,466.15,6.66,39.94
2004-06-30,464.62,6.68,40.18
2004-07-01,466.43,6.75,40.00
2004-07-02,469.14,6.71,39.88
2004-07-05,472.02,6.75,39.89
2004-07-06,469.28,6.78,39.69
2004-07-07,467.18,6.75,39.77
2004-07-08,462.30,6.77,39.83
2004-07-09,461.02,6.82,40.03
2004-07-12,459.69,6.79,40.26
2004-07-13,456.27,6.77,40.06
2004-07-14,456.50,6.78,40.07
2004-07-15,459.16,6.80,39.98
2004-07-16,456.45,6.83,40.15
2004-07-19,459.83,6.80,40.16
2004-07-20,459.76,6.79,40.17
2004-07-21,455.89,6.83,40.38
2004-07-22,458.53,6.94,40.28
2004-07-23,458.52,6.95,40.91
2004-07-26,454.62,6.97,40.44
2004-07-27,448.82,6.87,39.99
2004-07-28,451.29,6.83,39.92
2004-07-29,448.73,6.86,39.58
2004-07-30,451.75,6.82,39.34
2004-08-02,452.10,6.82,39.79
2004-08-03,452.44,6.76,39.62
2004-08-04,451.21,6.80,39.74
2004-08-05,451.01,6.84,39.58
2004-08-06,450.77,6.85,40.07
2004-08-09,450.61,6.84,39.73
2004-08-10,452.23,6.81,39.85
2004-08-11,448.00,6.86,39.43
2004-08-12,446.32,6.91,39.01
2004-08-13,446.21,6.92,38.70
2004-08-16,449.27,6.99,38.10
2004-08-17,446.09,7.03,37.70
2004-08-18,445.29,7.04,37.91
2004-08-19,444.86,7.05,37.68
2004-08-20,447.80,7.02,37.79
2004-08-23,446.72,7.03,37.74
2004-08-24,446.42,6.98,37.99
2004-08-25,449.65,7.00,38.21
2004-08-26,451.60,7.04,38.31
2004-08-27,452.14,7.09,38.33
2004-08-30,450.01,7.09,37.76
2004-08-31,450.07,7.11,38.14
2004-09-01,450.47,7.16,38.14
2004-09-02,448.24,7.09,37.85
2004-09-03,445.24,7.12,37.79
2004-09-06,446.58,7.13,38.11
2004-09-07,449.01,7.10,38.03
2004-09-08,447.88,7.02,38.24
2004-09-09,450.61,7.02,38.09
2004-09-10,453.14,6.90,38.15
2004-09-13,453.53,6.88,38.58
2004-09-14,455.80,6.87,38.55
2004-09-15,454.98,6.84,38.15
2004-09-16,458.19,6.89,38.40
2004-09-17,455.75,7.00,39.01
2004-09-20,456.25,6.95,38.75
2004-09-21,457.27,6.91,38.74
2004-09-22,459.83,6.84,39.37
2004-09-23,463.50,6.78,38.92
2004-09-24,462.91,6.73,38.85
2004-09-27,457.01,6.72,39.41
2004-09-28,454.53,6.71,38.95
2004-09-29,456.05,6.70,39.55
2004-09-30,456.59,6.69,39.73
2004-10-01,455.50,6.63,39.83
2004-10-04,455.17,6.63,39.96
2004-10-05,454.07,6.66,40.51
2004-10-06,451.63,6.74,40.44
2004-10-07,449.96,6.85,40.49
2004-10-08,453.12,6.89,39.95
2004-10-11,453.46,6.87,39.53
2004-10-12,449.51,6.88,39.72
2004-10-13,450.45,6.86,39.47
2004-10-14,448.30,6.84,39.15
2004-10-15,447.91,6.84,38.87
2004-10-18,447.46,6.80,38.87
2004-10-19,448.66,6.81,39.02
2004-10-20,445.02,6.80,39.11
2004-10-21,446.51,6.72,39.17
2004-10-22,449.27,6.71,39.14
2004-10-25,450.35,6.73,39.36
2004-10-26,450.58,6.74,39.12
2004-10-27,450.27,6.80,39.06
2004-10-28,449.96,6.77,39.30
2004-10-29,448.10,6.82,39.01
2004-11-01,445.80,6.83,39.06
2004-11-02,446.53,6.88,38.93
2004-11-03,447.58,6.84,39.33
2004-11-04,449.07,6.87,39.39
2004-11-05,447.37,6.85,39.56
2004-11-08,447.39,6.86,39.13
2004-11-09,447.87,6.83,38.79
2004-11-10,447.59,6.74,39.01
2004-11-11,449.56,6.74,38.71
2004-11-12,447.50,6.73,37.96
2004-11-15,447.97,6.77,37.87
2004-11-16,446.93,6.78,37.98
2004-11-17,449.45,6.78,37.77
2004-11-18,448.48,6.79,38.25
2004-11-19,447.83,6.74,37.99
2004-11-22,443.20,6.76,37.58
2004-11-23,440.53,6.66,37.24
2004-11-24,441.85,6.60,36.73
2004-11-25,442.31,6.59,36.86
2004-11-26,444.01,6.59,36.48
2004-11-29,443.81,6.62,36.31
2004-11-30,440.68,6.67,36.19
2004-12-01,439.85,6.67,36.50
2004-12-02,440.49,6.66,36.70
2004-12-03,445.29,6.72,36.90
2004-12-06,442.86,6.90,36.55
2004-12-07,442.10,6.87,37.03
2004-12-08,443.09,6.80,37.11
2004-12-09,444.37,6.79,36.75
2004-12-10,442.83,6.77,36.76
2004-12-13,441.74,6.80,36.49
2004-12-14,437.99,6.77,36.89
2004-12-15,436.80,6.88,37.03
2004-12-16,434.32,6.84,37.11
2004-12-17,431.83,6.96,36.82
2004-12-20,433.36,7.03,36.79
2004-12-21,431.27,7.02,36.90
2004-12-22,433.22,7.02,36.49
2004-12-23,433.38,6.99,35.86
2004-12-24,431.93,6.92,36.03
2004-12-27,436.20,7.01,35.87
2004-12-28,435.24,7.05,36.18
2004-12-29,434.40,7.04,36.82
2004-12-30,434.23,7.02,36.86
2004-12-31,435.55,6.97,36.79
2005-01-03,433.08,6.96,37.35
2005-01-04,434.75,6.96,37.07
2005-01-05,434.14,7.01,36.91
2005-01-06,437.35,6.94,36.83
2005-01-07,441.23,6.85,37.18
2005-01-10,437.21,6.84,37.13
2005-01-11,439.08,6.69,36.57
2005-01-12,437.90,6.70,36.31
2005-01-13,437.48,6.64,36.19
2005-01-14,435.69,6.66,36.37
2005-01-17,438.88,6.63,36.28
2005-01-18,439.05,6.61,36.27
2005-01-19,435.69,6.63,36.00
2005-01-20,433.67,6.56,36.34
2005-01-21,433.43,6.61,36.43
2005-01-24,429.80,6.57,36.65
2005-01-25,428.22,6.52,36.60
2005-01-26,427.91,6.47,36.51
2005-01-27,426.95,6.36,36.66
2005-01-28,425.28,6.42,36.33
2005-01-31,421.98,6.47,35.87
2005-02-01,420.71,6.50,35.78
2005-02-02,417.29,6.51,35.73
2005-02-03,420.03,6.54,36.60
2005-02-04,416.63,6.54,36.29
2005-02-07,419.10,6.58,36.51
2005-02-08,417.54,6.54,35.92
2005-02-09,421.17,6.57,35.85
2005-02-10,423.20,6.60,36.13
2005-02-11,419.82,6.57,36.19
2005-02-14,420.63,6.62,35.91
2005-02-15,420.96,6.72,36.11
2005-02-16,422.86,6.72,36.33
2005-02-17,426.74,6.73,36.69
2005-02-18,424.93,6.76,36.96
2005-02-21,423.40,6.81,36.77
2005-02-22,421.76,6.81,37.34
2005-02-23,422.47,6.86,37.12
2005-02-24,422.70,6.80,36.96
2005-02-25,424.53,6.80,37.39
2005-02-28,424.16,6.79,37.78
2005-03-01,422.85,6.72,38.17
2005-03-02,423.79,6.62,38.19
2005-03-03,423.00,6.70,37.97
2005-03-04,421.83,6.66,37.65
2005-03-07,420.42,6.60,37.35
2005-03-08,417.11,6.53,36.89
2005-03-09,416.08,6.50,36.53
2005-03-10,417.14,6.50,36.40
2005-03-11,416.23,6.57,36.48
2005-03-14,417.29,6.45,36.29
2005-03-15,412.82,6.44,36.40
2005-03-16,411.49,6.46,36.11
2005-03-17,412.74,6.39,36.04
2005-03-18,413.66,6.42,36.00
2005-03-21,417.74,6.40,35.88
2005-03-22,412.04,6.48,35.77
2005-03-23,409.68,6.54,36.13
2005-03-24,409.96,6.48,36.26
2005-03-25,408.75,6.43,36.56
2005-03-28,404.45,6.45,36.70
2005-03-29,408.66,6.47,36.10
2005-03-30,407.01,6.47,36.21
2005-03-31,409.07,6.38,36.11
2005-04-01,411.11,6.45,36.66
2005-04-04,410.37,6.51,37.16
2005-04-05,412.89,6.54,37.41
2005-04-06,411.32,6.48,37.71
2005-04-07,410.67,6.48,37.54
2005-04-08,409.93,6.49,37.24
2005-04-11,410.13,6.50,37.22
2005-04-12,408.66,6.54,37.78
2005-04-13,407.50,6.59,38.05
2005-04-14,402.15,6.56,37.86
2005-04-15,403.78,6.57,38.01
2005-04-18,405.13,6.53,37.78
2005-04-19,402.71,6.52,37.75
2005-04-20,403.12,6.49,38.03
2005-04-21,405.03,6.56,38.25
2005-04-22,405.46,6.60,38.44
2005-04-25,404.20,6.66,38.97
2005-04-26,408.26,6.66,39.08
2005-04-27,409.17,6.66,39.28
2005-04-28,408.98,6.65,39.83
2005-04-29,409.38,6.66,40.12
2005-05-02,409.75,6.67,40.10
2005-05-03,407.31,6.67,39.74
2005-05-04,407.80,6.62,40.04
2005-05-05,409.39,6.63,40.01
2005-05-06,410.30,6.54,39.66
2005-05-09,410.06,6.56,39.64
2005-05-10,408.06,6.57,39.50
2005-05-11,405.94,6.58,39.44
2005-05-12,408.43,6.62,39.67
2005-05-13,409.15,6.58,39.38
2005-05-16,406.20,6.71,39.04
2005-05-17,405.84,6.70,38.96
2005-05-18,404.71,6.61,38.65
2005-05-19,401.96,6.61,38.44
2005-05-20,400.64,6.62,38.27
2005-05-23,402.57,6.60,38.34
2005-05-24,399.96,6.63,38.22
2005-05-25,400.84,6.65,38.17
2005-05-26,401.33,6.63,38.59
2005-05-27,403.27,6.66,38.23
2005-05-30,401.11,6.63,38.16
2005-05-31,402.07,6.59,38.52
2005-06-01,402.14,6.49,38.38
2005-06-02,397.00,6.46,38.21
2005-06-03,395.85,6.45,38.09
2005-06-06,394.73,6.52,38.47
2005-06-07,392.54,6.58,37.97
2005-06-08,391.00,6.65,37.30
2005-06-09,392.18,6.59,37.26
2005-06-10,391.89,6.67,37.02
2005-06-13,391.81,6.70,36.95
2005-06-14,390.26,6.70,36.98
2005-06-15,392.04,6.66,36.85
2005-06-16,392.73,6.65,36.80
2005-06-17,392.76,6.62,36.57
2005-06-20,393.68,6.57,36.91
2005-06-21,394.17,6.51,37.00
2005-06-22,394.56,6.55,37.35
2005-06-23,393.89,6.52,37.17
2005-06-24,392.02,6.48,37.26
2005-06-27,392.11,6.46,37.04
2005-06-28,392.85,6.44,36.74
2005-06-29,392.61,6.43,36.43
2005-06-30,394.29,6.47,36.44
2005-07-01,394.61,6.50,36.44
2005-07-04,396.43,6.57,36.46
2005-07-05,397.36,6.61,36.37
2005-07-06,395.18,6.66,35.92
2005-07-07,398.77,6.70,35.97
2005-07-08,398.94,6.78,35.70
2005-07-11,396.68,6.76,35.63
2005-07-12,394.74,6.76,35.68
2005-07-13,393.20,6.84,35.28
2005-07-14,390.75,6.86,35.23
2005-07-15,391.62,6.83,34.94
2005-07-18,390.42,6.80,35.09
2005-07-19,389.54,6.84,35.26
2005-07-20,391.62,6.88,35.48
2005-07-21,393.19,6.86,35.41
2005-07-22,389.65,6.87,35.22
2005-07-25,390.49,6.90,34.85
2005-07-26,388.57,6.89,34.71
2005-07-27,388.95,6.83,34.72
2005-07-28,385.73,6.73,34.93
2005-07-29,383.27,6.71,34.53
2005-08-01,380.63,6.69,34.42
2005-08-02,382.55,6.71,34.35
2005-08-03,384.06,6.76,34.47
2005-08-04,383.34,6.81,34.96
2005-08-05,384.66,6.90,35.23
2005-08-08,386.35,6.85,34.91
2005-08-09,386.31,6.77,34.75
2005-08-10,388.05,6.74,34.90
2005-08-11,385.48,6.72,35.19
2005-08-12,385.94,6.73,35.68
2005-08-15,388.50,6.69,36.06
2005-08-16,387.37,6.69,36.06
2005-08-17,389.50,6.64,36.20
2005-08-18,390.58,6.68,36.14
2005-08-19,392.60,6.65,36.48
2005-08-22,393.35,6.58,36.60
2005-08-23,393.76,6.57,36.39
2005-08-24,393.35,6.50,36.88
2005-08-25,391.19,6.48,37.22
2005-08-26,392.39,6.51,37.68
2005-08-29,391.84,6.46,37.94
2005-08-30,393.46,6.45,37.56
2005-08-31,395.95,6.48,37.15
2005-09-01,397.56,6.41,37.01
2005-09-02,395.38,6.39,36.77
2005-09-05,394.23,6.42,36.86
2005-09-06,395.53,6.47,36.75
2005-09-07,395.74,6.50,37.26
2005-09-08,397.58,6.56,37.56
2005-09-09,399.74,6.48,37.83
2005-09-12,400.23,6.48,37.68
2005-09-13,399.44,6.50,37.93
2005-09-14,396.51,6.51,37.77
2005-09-15,394.68,6.53,37.67
2005-09-16,393.44,6.50,37.76
2005-09-19,393.48,6.45,37.51
2005-09-20,393.18,6.47,37.20
2005-09-21,394.20,6.43,38.01
2005-09-22,392.40,6.40,38.08
2005-09-23,390.69,6.44,38.63
2005-09-26,389.99,6.45,38.47
2005-09-27,390.05,6.51,38.75
2005-09-28,388.35,6.59,39.12
2005-09-29,389.35,6.56,39.14
2005-09-30,387.86,6.58,39.05
2005-10-03,383.58,6.62,39.11
2005-10-04,385.71,6.62,39.17
2005-10-05,387.92,6.64,39.27
2005-10-06,394.21,6.63,39.32
2005-10-07,397.69,6.59,39.00
2005-10-10,394.90,6.62,39.20
2005-10-11,396.42,6.56,39.52
2005-10-12,398.86,6.56,39.53
2005-10-13,400.26,6.57,39.74
2005-10-14,398.15,6.57,39.36
2005-10-17,399.47,6.59,39.33
2005-10-18,400.12,6.52,39.60
2005-10-19,399.24,6.53,39.96
2005-10-20,397.79,6.59,40.01
2005-10-21,397.91,6.61,39.61
2005-10-24,399.15,6.62,39.94
2005-10-25,398.78,6.60,40.06
2005-10-26,398.72,6.55,40.01
2005-10-27,401.31,6.55,39.73
2005-10-28,402.80,6.46,39.06
2005-10-31,402.85,6.47,39.13
2005-11-01,401.12,6.47,38.70
2005-11-02,401.62,6.39,38.66
2005-11-03,402.20,6.32,38.50
2005-11-04,403.85,6.39,38.04
2005-11-07,404.60,6.33,37.64
2005-11-08,407.88,6.36,37.40
2005-11-09,408.39,6.39,37.46
2005-11-10,413.04,6.42,36.56
2005-11-11,412.51,6.39,36.51
2005-11-14,412.59,6.36,36.19
2005-11-15,415.47,6.39,36.00
2005-11-16,416.94,6.42,36.37
2005-11-17,414.81,6.46,36.20
2005-11-18,417.26,6.45,35.54
2005-11-21,417.40,6.37,35.49
2005-11-22,417.34,6.35,35.07
2005-11-23,415.08,6.32,35.00
2005-11-24,417.81,6.35,34.87
2005-11-25,420.54,6.29,35.07
2005-11-28,420.23,6.30,35.25
2005-11-29,418.87,6.34,35.25
2005-11-30,423.98,6.33,35.61
2005-12-01,425.42,6.28,36.00
2005-12-02,423.22,6.18,36.25
2005-12-05,425.55,6.18,36.18
2005-12-06,428.98,6.22,35.99
2005-12-07,430.62,6.16,35.84
2005-12-08,428.42,6.07,35.50
2005-12-09,431.10,6.02,35.35
2005-12-12,428.66,6.06,35.35
2005-12-13,429.78,6.06,35.03
2005-12-14,427.75,6.09,35.01
2005-12-15,429.47,5.96,35.33
2005-12-16,428.47,6.05,35.19
2005-12-19,428.60,6.08,34.94
2005-12-20,430.53,6.06,35.31
2005-12-21,432.31,6.08,35.11
2005-12-22,431.92,6.09,34.54
2005-12-23,430.79,6.13,34.19
2005-12-26,433.61,6.11,34.28
2005-12-27,431.18,6.13,34.41
2005-12-28,433.70,6.19,34.76
2005-12-29,434.22,6.14,35.13
2005-12-30,431.45,6.12,35.35
2006-01-02,432.47,6.19,35.35
2006-01-03,428.88,6.18,35.40
2006-01-04,428.20,6.24,35.33
2006-01-05,425.19,6.26,35.01
2006-01-06,428.86,6.27,34.62
2006-01-09,431.24,6.38,34.07
2006-01-10,433.25,6.40,34.12
2006-01-11,434.06,6.43,33.94
2006-01-12,437.19,6.37,34.47
2006-01-13,440.60,6.32,34.47
2006-01-16,443.79,6.29,34.43
2006-01-17,442.96,6.35,34.27
2006-01-18,443.01,6.37,34.22
2006-01-19,441.15,6.31,33.80
2006-01-20,438.62,6.24,33.61
2006-01-23,439.34,6.24,33.39
2006-01-24,437.17,6.20,33.02
2006-01-25,434.54,6.23,32.66
2006-01-26,434.64,6.21,33.29
2006-01-27,430.80,6.22,33.21
2006-01-30,429.20,6.23,33.25
2006-01-31,426.97,6.25,33.36
2006-02-01,429.83,6.23,33.76
2006-02-02,429.47,6.14,33.90
2006-02-03,429.36,6.10,34.16
2006-02-06,428.42,6.15,34.14
2006-02-07,430.09,6.18,34.27
2006-02-08,427.93,6.22,34.28
2006-02-09,432.28,6.24,34.49
2006-02-10,430.69,6.23,34.52
2006-02-13,428.24,6.18,34.49
2006-02-14,428.13,6.19,34.80
2006-02-15,427.34,6.22,34.77
2006-02-16,426.99,6.23,34.20
2006-02-17,427.20,6.20,33.95
2006-02-20,423.23,6.19,33.44
2006-02-21,425.13,6.18,32.99
2006-02-22,423.77,6.21,32.84
2006-02-23,423.23,6.20,32.81
2006-02-24,419.70,6.19,32.66
2006-02-27,425.96,6.19,32.55
2006-02-28,428.13,6.18,32.62
2006-03-01,426.32,6.25,32.46
2006-03-02,427.19,6.30,32.38
2006-03-03,427.25,6.33,32.56
2006-03-06,424.99,6.34,32.32
2006-03-07,423.47,6.31,32.64
2006-03-08,426.91,6.43,32.62
2006-03-09,425.18,6.38,33.05
2006-03-10,421.97,6.37,32.90
2006-03-13,425.73,6.33,33.19
2006-03-14,428.59,6.32,33.32
2006-03-15,425.36,6.32,33.27
2006-03-16,419.93,6.34,33.37
2006-03-17,416.44,6.28,33.17
2006-03-20,415.40,6.26,32.92
2006-03-21,413.37,6.28,32.80
2006-03-22,413.21,6.27,32.92
2006-03-23,412.95,6.31,32.95
2006-03-24,414.85,6.37,32.57
2006-03-27,416.83,6.45,32.32
2006-03-28,416.82,6.43,32.44
2006-03-29,417.97,6.40,32.78
2006-03-30,416.24,6.40,33.05
2006-03-31,420.37,6.38,33.26
2006-04-03,420.89,6.31,33.01
2006-04-04,418.42,6.29,32.90
2006-04-05,418.54,6.34,33.02
2006-04-06,424.16,6.33,33.23
2006-04-07,425.10,6.40,33.13
2006-04-10,426.96,6.48,32.94
2006-04-11,426.87,6.50,32.83
2006-04-12,425.06,6.58,32.78
2006-04-13,428.81,6.56,32.72
2006-04-14,430.58,6.55,32.49
2006-04-17,429.10,6.57,32.32
2006-04-18,429.35,6.47,32.18
2006-04-19,429.03,6.44,31.93
2006-04-20,427.20,6.45,32.31
2006-04-21,424.28,6.44,32.57
2006-04-24,425.05,6.43,32.45
2006-04-25,425.14,6.43,31.89
2006-04-26,423.68,6.34,32.22
2006-04-27,425.49,6.31,32.43
2006-04-28,430.76,6.28,32.77
2006-05-01,431.61,6.27,32.49
2006-05-02,430.47,6.26,31.89
2006-05-03,431.68,6.25,32.01
2006-05-04,430.84,6.38,31.59
2006-05-05,428.89,6.41,32.19
2006-05-08,426.83,6.49,31.95
2006-05-09,429.65,6.50,32.53
2006-05-10,433.55,6.47,33.29
2006-05-11,431.17,6.46,33.78
2006-05-12,429.66,6.43,33.82
2006-05-15,430.69,6.45,33.62
2006-05-16,431.18,6.48,34.03
2006-05-17,431.95,6.42,34.04
2006-05-18,430.68,6.48,33.59
2006-05-19,431.95,6.44,33.93
2006-05-22,433.68,6.45,34.07
2006-05-23,433.01,6.48,34.06
2006-05-24,434.66,6.48,33.39
2006-05-25,433.61,6.55,33.78
2006-05-26,433.90,6.55,33.69
2006-05-29,435.33,6.58,33.43
2006-05-30,436.84,6.64,33.18
2006-05-31,436.50,6.66,33.37
2006-06-01,435.64,6.64,33.25
2006-06-02,436.55,6.66,33.25
2006-06-05,433.64,6.61,33.42
2006-06-06,431.05,6.62,33.33
2006-06-07,429.82,6.62,33.78
2006-06-08,430.51,6.61,33.39
2006-06-09,431.67,6.66,33.55
2006-06-12,434.25,6.69,33.21
2006-06-13,434.22,6.71,33.40
2006-06-14,433.22,6.71,33.50
2006-06-15,436.04,6.76,33.68
2006-06-16,436.96,6.71,33.39
2006-06-19,436.83,6.76,33.49
2006-06-20,438.12,6.69,33.11
2006-06-21,440.64,6.69,32.76
2006-06-22,442.65,6.71,33.54
2006-06-23,445.48,6.72,33.50
2006-06-26,446.07,6.72,33.12
2006-06-27,448.20,6.73,32.39
2006-06-28,446.84,6.70,32.65
2006-06-29,446.81,6.77,32.24
2006-06-30,444.48,6.82,32.07
2006-07-03,442.19,6.80,31.88
2006-07-04,443.45,6.85,31.48
2006-07-05,442.87,6.85,31.50
2006-07-06,444.78,6.86,31.36
2006-07-07,442.38,6.77,31.27
2006-07-10,442.48,6.82,31.18
2006-07-11,447.68,6.82,31.06
2006-07-12,448.60,6.77,31.12
2006-07-13,444.04,6.80,31.14
2006-07-14,444.57,6.81,30.82
2006-07-17,442.64,6.89,30.95
2006-07-18,441.39,6.91,31.05
2006-07-19,445.77,6.97,31.16
2006-07-20,444.83,7.05,31.13
2006-07-21,442.96,7.00,30.92
2006-07-24,442.22,7.03,31.15
2006-07-25,444.83,7.04,31.36
2006-07-26,449.93,7.09,31.77
2006-07-27,446.60,7.05,31.58
2006-07-28,440.68,7.06,31.93
2006-07-31,439.57,7.07,31.72
2006-08-01,438.56,7.09,31.42
2006-08-02,441.20,6.99,31.50
2006-08-03,440.18,7.07,31.70
2006-08-04,435.66,6.95,31.45
2006-08-07,434.63,6.94,31.46
2006-08-08,436.16,6.88,31.01
2006-08-09,436.77,6.86,30.98
2006-08-10,435.44,6.85,31.36
2006-08-11,431.97,6.79,31.52
2006-08-14,435.42,6.79,31.21
2006-08-15,431.13,6.80,30.90
2006-08-16,435.88,6.91,30.96
2006-08-17,437.01,6.91,31.24
2006-08-18,437.06,6.91,31.58
2006-08-21,438.50,7.02,31.17
2006-08-22,437.35,6.97,31.39
2006-08-23,436.33,7.01,31.10
2006-08-24,436.19,7.12,31.51
2006-08-25,432.16,7.14,31.72
2006-08-28,431.16,7.09,31.89
2006-08-29,431.44,7.11,31.85
2006-08-30,436.53,7.07,31.73
2006-08-31,437.72,7.11,31.38
2006-09-01,440.63,7.04,31.39
2006-09-04,440.02,7.00,31.68
2006-09-05,434.92,6.97,31.45
2006-09-06,436.89,7.05,31.65
2006-09-07,440.00,6.94,31.69
2006-09-08,437.03,6.92,31.76
2006-09-11,437.30,6.99,31.26
2006-09-12,435.54,6.92,30.85
2006-09-13,437.79,6.93,31.24
2006-09-14,440.45,6.93,31.00
2006-09-15,442.70,6.90,30.71
2006-09-18,440.22,6.91,31.02
2006-09-19,440.40,6.97,31.05
2006-09-20,439.53,7.10,31.50
2006-09-21,440.03,7.06,31.10
2006-09-22,440.98,7.05,31.22
2006-09-25,441.76,7.07,31.51
2006-09-26,442.52,7.04,31.31
2006-09-27,443.87,6.99,31.50
2006-09-28,445.53,6.99,31.30
2006-09-29,441.64,6.93,30.90
2006-10-02,441.76,6.91,30.68
2006-10-03,443.75,6.92,30.69
2006-10-04,445.06,6.97,30.30
2006-10-05,446.70,6.89,30.11
2006-10-06,449.03,6.92,30.27
2006-10-09,449.50,6.99,29.90
2006-10-10,448.88,6.99,30.39
2006-10-11,451.25,7.05,30.21
2006-10-12,456.40,7.07,29.97
2006-10-13,461.82,7.00,29.77
2006-10-16,461.35,6.96,29.89
2006-10-17,462.06,6.96,30.35
2006-10-18,458.35,7.03,30.15
2006-10-19,461.77,7.13,30.71
2006-10-20,461.40,7.07,30.79
2006-10-23,461.35,6.98,30.98
2006-10-24,459.29,7.06,31.22
2006-10-25,458.71,7.06,31.16
2006-10-26,457.73,7.21,30.93
